game,rating,platform,genre,release
A Pixel Story,7,Xbox One,Action,2016-08-23
A Rose in the Twilight,12,PlayStation Vita,Action,2017-04-14
A Shadow's Tale,12,Nintendo Wii,Action,2010-10-07
A Sound of Thunder,7,Game Boy Advance,Adventure,2004-03-16
A Space Shooter for 2 bucks,12,PlayStation Network,Action,2010-12-21
A Story About My Uncle,7,PC,Adventure,2014-11-28
A Topsy Turvy Life: The Turvys Strike Back,7,Nintendo DSi - DSiWare,Action,2010-03-22
A Topsy Turvy Life: Turvy Drops,3,Nintendo DSi - DSiWare,Puzzle,2010-03-22
A Train 6,3,Playstation 2,Strategy,
A Vampire Tale,7,PC,Puzzle,2012-03-30
A Vampyre Story,7,PC,Adventure,2008-10-30
A Virus Named TOM,3,PlayStation Vita,Puzzle,2016-01-31
A World of Keflings,7,XBOX 360 Live Arcade,Other,2010-09-15
A wizard`s curse,7,PC,Puzzle,2013-07-03
A-MEN,12,PC,Action,2013-05-16
A-Men,12,Playstation 3,Puzzle,2012-10-31
A-Race: Extreme Show,3,PC,Racing,2007-09-30
A-Train 3D: City Simulator,3,Nintendo 3DS,Simulation,2015-03-26
A-Train HX,3,XBox 360,Simulation,2008-02-01
A-Train8,3,PC,Simulation,2009-02-20
A-men,12,PlayStation Vita,Action,2012-02-22
A-men 2,12,PC,Other,2015-07-20
A-men 2,12,PlayStation Vita,Puzzle,2013-10-23
A-men 2,12,Playstation 3,Puzzle,2013-10-23
A.I.M. 2,12,PC,Action,2007-03-31
A.I.M. Racing,3,PC,Racing,2009-03-31
A.M.Y.,16,Playstation 3,Action,2011-11-30
A.M.Y.,16,XBox 360,Action,2011-11-30
A.O.T. Wings of Freedom,18,PC,Action,2016-08-26
A.O.T. Wings of Freedom,18,PlayStation 4,Action,2016-08-26
A.O.T. Wings of Freedom,18,PlayStation Vita,Action,2016-08-26
A.O.T. Wings of Freedom,18,Playstation 3,Action,2016-08-26
A.O.T. Wings of Freedom,18,Xbox One,Action,2016-08-26
A.R.E.S. Extinction Agenda EX,12,XBox 360,Action,2013-09-04
A.S.L.E. - Die Tierspürnasen,3,PC,Adventure,2006-10-06
A.T.O.M Alpha Teens On Machines,7,Playstation 2,Action,2007-05-05
A.W.: Phoenix Festa,12,PlayStation Vita,Adventure,2016-07-11
A2 Racer - World Challenge,3,PC,Racing,
A2 Racer - World Challenge,3,Playstation 2,Racing,2003-08-15
A340 Professional,3,PC,Simulation,2004-10-29
A340-500/600,3,PC,Simulation,2006-07-14
A400M Airlifter,3,PC,Simulation,2006-05-26
ABBA You Can Dance,3,Nintendo Wii,Music / Dance,2011-11-24
ABC Murders,12,Nintendo DS,Adventure,2009-11-15
ABC-Schutz-Simulator,3,PC,Simulation,2012-09-18
ABE VR,16,PlayStation 4,Other,2016-10-13
ABZU,7,PC,Adventure,2016-08-02
ABZU,7,PlayStation 4,Adventure,2016-08-02
ABZU,7,Xbox One,Adventure,2016-11-02
AC/DC Live: Rock Band,12,Nintendo Wii,Action,2008-12-19
AC/DC Live: Rock Band,12,Playstation 2,Action,2008-12-19
AC/DC Live: Rock Band,12,Playstation 3,Action,2008-12-19
AC/DC Live: Rock Band,12,XBox 360,Action,2008-12-19
ACA NEOGEO AERO FIGHTERS 2,7,PlayStation 4,Other,2017-08-03
ACA NEOGEO AERO FIGHTERS 2,7,Xbox One,Other,2017-08-03
ACA NEOGEO ALPHA MISSION II,7,PlayStation 4,Other,2017-01-12
ACA NEOGEO ALPHA MISSION II,7,Xbox One,Other,2017-04-27
ACA NEOGEO ART OF FIGHTING,12,PlayStation 4,Other,2017-04-27
ACA NEOGEO ART OF FIGHTING,12,Xbox One,Other,2017-03-23
ACA NEOGEO ART OF FIGHTING 2,12,PlayStation 4,Other,2017-07-27
ACA NEOGEO ART OF FIGHTING 2,12,Xbox One,Other,2017-06-22
ACA NEOGEO BLUE'S JOURNEY,3,PlayStation 4,Action,2017-09-07
ACA NEOGEO BLUE'S JOURNEY,3,Xbox One,Action,2017-09-07
ACA NEOGEO FATAL FURY,12,PlayStation 4,Other,2017-01-04
ACA NEOGEO FATAL FURY,12,Xbox One,Other,2017-03-23
ACA NEOGEO FATAL FURY 2,12,PlayStation 4,Other,2017-06-22
ACA NEOGEO FATAL FURY 2,12,Xbox One,Other,2017-04-20
ACA NEOGEO FATAL FURY 3,12,PlayStation 4,Other,2017-08-31
ACA NEOGEO FATAL FURY 3,12,Xbox One,Other,2017-08-31
ACA NEOGEO FATAL FURY SPECIAL,12,PlayStation 4,Other,2017-07-13
ACA NEOGEO FATAL FURY SPECIAL,12,Xbox One,Other,2017-07-13
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,12,PlayStation 4,Other,2017-05-11
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,12,Xbox One,Other,2017-04-06
ACA NEOGEO KING OF THE MONSTERS,7,PlayStation 4,Action,2017-07-20
ACA NEOGEO KING OF THE MONSTERS,7,Xbox One,Action,2017-06-08
ACA NEOGEO LAST RESORT,7,PlayStation 4,Other,2017-05-02
ACA NEOGEO LAST RESORT,7,Xbox One,Other,2017-05-02
ACA NEOGEO MAGICAL DROP II,3,PlayStation 4,Puzzle,2017-06-15
ACA NEOGEO MAGICAL DROP II,3,Xbox One,Puzzle,2017-06-15
ACA NEOGEO MAGICIAN LOAD,7,Xbox One,Action,2017-08-17
ACA NEOGEO MAGICIAN LORD,7,PlayStation 4,Action,2017-08-17
ACA NEOGEO METAL SLUG,12,PlayStation 4,Action,2016-11-02
ACA NEOGEO METAL SLUG,12,Xbox One,Action,2016-12-22
ACA NEOGEO METAL SLUG 2,12,PlayStation 4,Action,2017-06-01
ACA NEOGEO METAL SLUG 2,12,Xbox One,Action,2017-06-01
ACA NEOGEO METAL SLUG 3,12,Nintendo Switch,Action,2017-03-03
ACA NEOGEO NAM-1975,12,PlayStation 4,Action,2017-02-09
ACA NEOGEO NAM-1975,12,Xbox One,Action,2017-02-09
ACA NEOGEO NEO TURF MASTERS,3,PlayStation 4,Sports,2017-02-02
ACA NEOGEO NEO TURF MASTERS,3,Xbox One,Sports,2017-02-02
ACA NEOGEO OVER TOP,3,PlayStation 4,Racing,2017-04-20
ACA NEOGEO OVER TOP,3,Xbox One,Racing,2017-04-20
ACA NEOGEO PULSTAR,7,PlayStation 4,Other,2017-07-06
ACA NEOGEO PULSTAR,7,Xbox One,Other,2017-07-06
ACA NEOGEO PUZZLED,3,PlayStation 4,Puzzle,2017-08-24
ACA NEOGEO PUZZLED,3,Xbox One,Puzzle,2017-08-24
ACA NEOGEO SAMURAI SHODOWN,12,PlayStation 4,Other,2016-11-10
ACA NEOGEO SAMURAI SHODOWN,12,Xbox One,Other,2017-05-02
ACA NEOGEO SENGOKU,12,PlayStation 4,Action,2017-02-16
ACA NEOGEO SENGOKU,12,Xbox One,Action,2017-02-16
ACA NEOGEO SENGOKU 2,12,PlayStation 4,Other,2017-06-08
ACA NEOGEO SENGOKU 2,12,Xbox One,Other,2017-04-13
ACA NEOGEO SHOCK TROOPERS,16,Nintendo Switch,Action,2017-03-03
ACA NEOGEO SUPER BASEBALL 2020,7,PlayStation 4,Sports,2017-06-29
ACA NEOGEO SUPER BASEBALL 2020,7,Xbox One,Sports,2017-06-29
ACA NEOGEO SUPER SIDEKICKS,3,PlayStation 4,Sports,2017-07-27
ACA NEOGEO SUPER SIDEKICKS,3,Xbox One,Sports,2017-07-27
ACA NEOGEO THE KING OF FIGHTERS '94,12,PlayStation 4,Other,2016-10-27
ACA NEOGEO THE KING OF FIGHTERS '94,12,Xbox One,Other,2017-02-09
ACA NEOGEO THE KING OF FIGHTERS '95,12,PlayStation 4,Other,2017-05-11
ACA NEOGEO THE KING OF FIGHTERS '95,12,Xbox One,Other,2017-03-30
ACA NEOGEO THE KING OF FIGHTERS '96,16,PlayStation 4,Other,2017-08-10
ACA NEOGEO THE KING OF FIGHTERS '96,16,Xbox One,Other,2017-08-10
ACA NEOGEO THE KING OF FIGHTERS '98,12,Nintendo Switch,Other,2017-03-03
ACA NEOGEO THE LAST BLADE,16,PlayStation 4,Other,2017-05-11
ACA NEOGEO THE LAST BLADE,16,Xbox One,Other,2017-05-11
ACA NEOGEO WAKU WAKU 7,12,Nintendo Switch,Other,2017-03-03
ACA NEOGEO WORLD HEROES,12,PlayStation 4,Other,2016-12-22
ACA NEOGEO WORLD HEROES,12,Xbox One,Other,2016-12-22
ACA NEOGEO WORLD HEROES 2,12,PlayStation 4,Other,2017-05-18
ACA NEOGEO WORLD HEROES 2,12,Xbox One,Other,2017-05-18
ACA NEOGEO WORLD HEROES PERFECT,16,Nintendo Switch,Other,2017-03-03
ACA NEOGEO ZED BLADE,7,PlayStation 4,Other,2017-08-10
ACA NEOGEO ZED BLADE,7,Xbox One,Other,2017-07-20
ACB Total 2009-2010,3,DVD Game,Sports,2009-12-18
ACB Total 2010-2011,3,Nintendo Wii,Sports,2011-03-03
ACB Total 2010-2011,3,PC,Sports,2010-12-10
ACE COMBAT 6,12,XBox 360,Action,2007-11-23
ACE COMBAT ASSAULT HORIZON LEGACY +,12,Nintendo 3DS,Simulation,2015-02-27
ACE Mathician,3,Nintendo DSi - DSiWare,Educational,2012-06-02
ACE OF SEAFOOD,12,PlayStation 4,Action,2017-08-31
ACT IT OUT! A Game of Charades,3,PlayStation 4,Other,2015-12-23
ACT OF WAR,16,PC,Strategy,2005-03-04
ACTION MAN - Robot Atak- GBA,3,Game Boy Advance,Adventure,2004-09-24
ACTUAL CRIMES: JACK THE RIPPER,7,Sony PSP,Adventure,2010-09-01
ADAC: Die Simulation,3,PC,Simulation,2014-06-04
ADI L'Entraîneur 6ème-5ème,3,Nintendo DS,Educational,2008-09-15
ADI L'Entraîneur CE1-CE2,3,Nintendo DS,Educational,2008-09-15
ADI L'Entraîneur CM1-CM2,3,Nintendo DS,Educational,2008-09-15
ADIBOO & THE ENERGY THIEVES,3,PC,Racing,2004-01-01
ADIBOO & THE ENERGY THIEVES,3,Playstation 2,Racing,2004-01-01
ADIBOO : PAZIRAL'S SECRET,3,Playstation 1,Racing,2003-10-10
ADK DAMASHII,16,PlayStation 4,Action,2017-01-31
ADR1FT,12,PC,Adventure,2015-08-10
ADR1FT,12,PlayStation 4,Adventure,2015-08-10
ADR1FT,12,Xbox One,Adventure,2015-08-10
ADRENALIN,3,PC,Racing,2007-02-23
ADVANCED GUARDIAN HEROES,3,Game Boy Advance,Adventure,2008-09-30
ADVENTURE ISLAND The Beginning,7,Nintendo Wii – WiiWare,Action,2009-04-24
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON’T KNOW!,7,Nintendo 3DS,Adventure,2013-11-15
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON’T KNOW!,7,Nintendo Wii U,Adventure,2013-11-15
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON’T KNOW!,7,PC,Adventure,2013-11-15
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON’T KNOW!,7,Playstation 3,Adventure,2013-11-15
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON’T KNOW!,7,XBox 360,Adventure,2013-11-15
ADrift,16,PC,Action,2013-04-25
AERO PORTER,3,Nintendo 3DS,Puzzle,2012-11-08
AFL Challenge,3,Sony PSP,Sports,2009-11-24
AFL Evolution,3,PlayStation 4,Sports,2016-12-16
AFL Evolution,3,Xbox One,Sports,2016-12-16
AFL LIVE 2004 - AUSSIE RULES FOOTBAL,3,Playstation 2,Sports,
AFL Live,3,Playstation 3,Sports,2011-04-21
AFL Live,3,XBox 360,Sports,2011-04-21
AFRO SAMURAI,18,Playstation 3,Action,2009-03-27
AFRO SAMURAI,18,XBox 360,Action,2009-03-27
AGON - The Lost Sword of Toledo,3,PC,Action,2008-02-15
AI War,3,PC,Strategy,2010-02-23
AIPD,7,PC,Action,2015-09-01
AIPD,7,PlayStation 4,Action,2015-09-01
AIPD,7,Xbox One,Action,2015-09-01
AIRBUS A380 Deluxe voor MS Flight Sim X,3,PC,Action,2006-11-25
AKIBA'S TRIP: Undead & Undressed,16,PlayStation 4,Action,2014-12-31
AKIBA'S TRIP: Undead & Undressed,16,PlayStation Vita,Action,2014-10-10
AKIBA'S TRIP: Undead & Undressed,16,Playstation 3,Action,2014-10-04
ALEA JACTA EST,7,PC,Strategy,2012-12-13
ALERTE COBRA,12,PC,Action,2007-03-02
ALIEN CRUSH,7,PlayStation Network,Other,2010-12-22
ALIEN versus PREDATOR 2,16,PC,Action,2003-07-15
ALIEN versus PREDATOR 2 : PRIMAL HUNT EXPANSION,16,PC,Action,2003-07-15
ALIENATION,16,PlayStation 4,Action,2016-04-26
ALL STAR STRIP POKER,16,PC,Board / Card,2006-05-31
ALLEZ RACONTE,7,Nintendo DS,Other,2011-07-01
ALONE IN THE DARK,16,Nintendo Wii,Action,2008-04-29
ALONE IN THE DARK,16,Playstation 2,Action,2008-04-29
ALONE IN THE DARK 5,18,PC,Action,2007-11-30
ALONE IN THE DARK 5,18,XBox 360,Action,2008-04-30
ALONE IN THE DARK INFERNO,18,Playstation 3,Action,2008-12-01
ALPHA BLACK ZERO Intrepid protocol,12,PC,Adventure,2004-08-27
ALPHA MISSION,7,Sony PSP - PSP GO,Action,2011-08-17
ALPHA MISSION II,7,Playstation 3,Action,2010-12-22
ALPHA MISSION II,7,Sony PSP,Action,2010-12-22
AMC The Walking Dead: Survival instinct,18,Nintendo Wii U,Action,2013-03-21
AMC The Walking Dead: Survival instinct,18,Playstation 3,Action,2013-03-21
AMC The Walking Dead: Survival instinct,18,XBox 360,Action,2013-03-22
AMERICA'S SECRET OPERATIONS,16,PC,Action,2006-01-23
AMERICAN CIVIL WAR,3,PC,Strategy,2007-06-22
AMF Bowling Pinbusters,3,Nokia mobile phone,Sports,2009-01-26
AMF Bowling Pinbusters!,3,Nintendo DS,Sports,2008-08-30
AMF Bowling Pinbusters!,3,Nintendo Wii,Sports,2008-03-14
AMF World Lanes,3,Nintendo Wii,Sports,2009-01-16
AMF Xtreme Bowling 2006,3,Playstation 2,Sports,2006-09-22
AMICI,3,Nintendo DS,Other,2009-06-19
ANARCHY REIGNS,16,Playstation 3,Action,2012-07-06
ANARCHY REIGNS,16,XBox 360,Action,2012-07-05
ANIKIDS: Meine Tierarztpraxis,3,Game Boy Advance,Simulation,2006-07-14
ANIMAL BOXING,12,Nintendo DS,Action,2011-02-04
ANKH,12,PC,Adventure,2006-02-26
ANNO 1404 VENICE,7,PC,Strategy,2010-02-25
ANNO 1503 *,3,PC,Strategy,2004-02-01
"ANNO 1503 - Treasures, Pirates, and Monsters",3,PC,Strategy,2004-05-14
ANNO 1602,3,PC,Strategy,2003-10-31
ANNO 1701 THE SUNKEN DRAGON,7,PC,RPG,2007-11-08
ANNO 2070 COMPLETE EDITION,7,PC,Strategy,2013-03-28
ANNO 2070™,7,PC,Strategy,2011-11-17
APB All Points Bulletin,18,PC,Action,2010-06-25
APB Reloaded,18,PC,Action,2011-12-01
APB Reloaded,18,PlayStation 4,Action,2015-09-11
APB Reloaded,18,Xbox One,Action,2015-09-13
APOX,16,PC,Strategy,2011-02-24
AQUA KITTY - Milk Mine Defender DX,7,PlayStation 4,Action,2014-09-09
AQUA KITTY - Milk Mine Defender DX,7,PlayStation Vita,Action,2014-09-23
AQUA KITTY UDX: Xbox One Ultra Edition,7,Xbox One,Other,2017-01-24
ARC STYLE: Baseball 3D,3,Nintendo 3DS,Sports,2014-06-12
ARC STYLE: Everyday Football,3,Nintendo DSi - DSiWare,Sports,2010-06-09
ARC STYLE: Football 3D,3,Nintendo 3DS,Sports,2013-05-30
ARCADE GAME SERIES: DIG DUG,3,PC,Other,2016-04-05
ARCADE GAME SERIES: DIG DUG,3,PlayStation 4,Other,2016-04-05
ARCADE GAME SERIES: DIG DUG,3,Xbox One,Other,2016-04-05
ARCADE GAME SERIES: GALAGA,3,PC,Other,2016-04-05
ARCADE GAME SERIES: GALAGA,3,PlayStation 4,Other,2016-04-05
ARCADE GAME SERIES: GALAGA,3,Xbox One,Other,2016-04-05
ARCADE GAME SERIES: Ms. PAC-MAN,3,PC,Other,2016-04-05
ARCADE GAME SERIES: Ms. PAC-MAN,3,PlayStation 4,Other,2016-04-05
ARCADE GAME SERIES: Ms. PAC-MAN,3,Xbox One,Other,2016-04-05
ARCADE GAME SERIES: PAC-MAN,3,PC,Other,2016-04-05
ARCADE GAME SERIES: PAC-MAN,3,PlayStation 4,Other,2016-04-05
ARCADE GAME SERIES: PAC-MAN,3,Xbox One,Other,2016-04-05
ARCANUM,12,PC,RPG,2003-07-15
ARE YOU SMARTER THAN A 10 YEAR OLD,3,Nintendo DS,Other,2008-10-27
ARK: Survival Evolved,16,PC,Action,2017-08-08
ARK: Survival Evolved,16,PlayStation 4,Action,2017-08-08
ARK: Survival Evolved,16,Xbox One,Action,2017-08-08
ARKANOID DS,3,Nintendo DS,Other,2008-07-04
ARKANOID Live!,3,XBOX 360 Live Arcade,Puzzle,2009-05-06
ARKANOID Plus!,3,Nintendo Wii – WiiWare,Other,2009-08-21
ARMORED CORE 4 ANSWERS,12,Playstation 3,Adventure,2008-09-26
ARMORED CORE 4 ANSWERS,12,XBox 360,Adventure,2008-09-26
ARMORED CORE NEXUS,12,Playstation 2,Action,2005-11-04
ARMS,12,Nintendo Switch,Action,2017-06-16
ART OF FIGHTING,12,Playstation 3,Action,2010-12-22
ART OF FIGHTING,12,Sony PSP,Action,2010-12-22
ART OF FIGHTING ANTHOLOGY,12,PlayStation 4,Action,2017-05-10
ARTHUR AND THE INVISIBLES,7,Game Boy Advance,Adventure,2007-01-19
ARTHUR AND THE INVISIBLES,3,Nintendo DS,Adventure,2007-01-19
ARTHUR AND THE INVISIBLES,7,PC,Adventure,2006-11-17
ARTHUR AND THE INVISIBLES,7,Playstation 2,Adventure,2006-11-17
ARTHUR AND THE INVISIBLES,7,Sony PSP,Adventure,2007-02-16
ASEA,3,PC,Puzzle,2010-07-31
ASTERIX AND THE OLYMPIC GAMES,7,Nintendo DS,Action,2007-11-23
ASTERIX AND THE OLYMPIC GAMES,7,Nintendo Wii,Action,2007-11-23
ASTERIX AND THE OLYMPIC GAMES,7,PC,Action,2007-11-23
ASTERIX AND THE OLYMPIC GAMES,7,Playstation 2,Action,2007-11-23
ASTERIX AND THE OLYMPIC GAMES,7,XBox 360,Action,2008-09-12
ASTERIX BRAIN TRAINER,7,Nintendo DS,Adventure,2008-06-27
ASTEROIDS,3,Playstation 3,Action,2012-07-10
ASTEROIDS / ASTEROIDS DELUXE,3,XBOX 360 Live Arcade,Action,2007-03-30
ASTROLOGY,3,Nintendo DS,Other,2009-06-26
ATARI ANNIVERSARY EDITION*,3,PC,Puzzle,2003-09-26
ATARI CLASSICS GAMES,3,Digiblast,Action,2005-12-01
ATARI Flashback,3,PC,Educational,2005-04-01
ATC Airport Tower Simulator,3,PC,Simulation,2010-01-20
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,12,PlayStation Vita,RPG,2014-06-20
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,12,Playstation 3,RPG,2014-06-20
ATHENA,12,Sony PSP - PSP GO,Adventure,2011-07-20
ATTACK OF THE FRIDAY MONSTERS! A TOKYO TALE,7,Nintendo 3DS,Other,2013-06-27
ATV Fever,3,Nintendo DS,Racing,2010-10-15
ATV Fever,3,Nintendo Wii,Racing,2010-10-31
ATV GP,3,PC,Racing,2008-11-14
ATV Mania,3,Playstation 1,Racing,2003-07-25
ATV Offroad Fury 2,7,Playstation 2,Racing,2003-08-08
ATV Offroad Fury 3,3,Playstation 2,Racing,2006-02-10
ATV Offroad Fury 4,3,Playstation 2,Racing,2008-01-18
ATV Offroad Fury Blazin' Trails,3,Sony PSP,Racing,2006-02-10
ATV Offroad Fury Pro,3,Sony PSP,Racing,2008-01-18
ATV Quad Frenzy,3,Nintendo DS,Racing,2006-03-20
ATV Quad Kings,3,Nintendo Wii,Racing,2009-09-04
ATV Quad Power Racing,3,Game Boy Advance,Racing,2006-12-21
ATV Quad kings,3,Nintendo DS,Racing,2010-05-10
ATV Racers,3,Playstation 1,Racing,
ATV Renegades,3,PlayStation 4,Racing,2016-08-16
ATV Renegades,3,Xbox One,Racing,2016-08-16
ATV Thunder Ridge Riders,3,Game Boy Advance,Action,2006-12-01
ATV Thunder Ridge Riders & Monster Trucks Compilation,3,Nintendo DS,Racing,2007-10-19
AUGUSTUS - PC,7,PC,Adventure,2004-05-01
AURA,3,PC,Adventure,2004-07-01
AWAY shuffle dungeon,7,Nintendo DS,Adventure,2009-02-27
Aaah Screwjumper,12,XBOX 360 Live Arcade,Action,2007-09-30
Aabs Animals,3,PlayStation Vita,Simulation,2013-09-11
Aabs Animals,3,Playstation 3,Other,2013-12-18
Aaero,7,PlayStation 4,Music / Dance,2017-03-30
Aaero,7,Xbox One,Music / Dance,2017-03-31
Aahh! Spot the difference,3,Nintendo DSi - DSiWare,Puzzle,2012-02-28
Aarklash Legacy,12,PC,Adventure,2015-05-20
Aaru's Awakening,7,PlayStation 4,Action,2015-02-02
Aaru's Awakening,7,Playstation 3,Action,2014-08-20
Aaru's Awakening,7,Xbox One,Action,2015-03-30
Abandoned: Chestnut Lodge Asylum,12,PC,Puzzle,2014-02-28
Abenteuer  in den Reitferien,3,PC,Adventure,2008-11-19
Abenteuer Tierhotel,3,PC,Other,2008-09-05
Abenteuer von Luxor,3,PC,Puzzle,2009-11-25
Abra Academy,3,PC,Puzzle,2009-05-29
Abra Academy 2: Returning Cast,3,PC,Puzzle,2009-08-14
Abschleppwagen-Simulator 2010,3,PC,Simulation,2009-11-30
Absolute Drift: Zen Edition,3,PlayStation 4,Racing,2016-07-18
Absolute Drift: Zen Edition,3,Xbox One,Racing,2017-07-07
Absolute Mahjong,3,PC,Puzzle,2006-06-15
Absolver,12,PC,Action,2017-08-29
Absolver,12,PlayStation 4,Action,2017-08-29
Abyss,3,Nintendo DSi - DSiWare,Action,2012-07-09
Abyss,3,Nintendo Wii U,Action,2013-12-10
Abyss - Grauen der Tiefe Collector's Edition,12,PC,Puzzle,2012-11-25
Abyss Odyssey,16,PC,Action,2014-06-15
Abyss Odyssey,16,PlayStation 4,Action,2015-04-01
Abyss Odyssey,16,Playstation 3,Action,2014-06-17
Abyss Odyssey,16,XBox 360,Action,2014-06-16
Abyss: The Wraiths of Eden,7,PC,Adventure,2013-02-22
Academy of Champions Football,3,Nintendo Wii,Sports,2009-09-03
Academy: Checkers,3,Nintendo DSi - DSiWare,Board / Card,2011-10-15
Academy: Chess Puzzles,3,Nintendo DSi - DSiWare,Puzzle,2012-09-30
Academy: Tic-Tac-Toe,3,Nintendo DSi - DSiWare,Board / Card,2010-10-15
Accel World vs. Sword Art Online,16,PlayStation 4,Action,2017-07-07
Accel World vs. Sword Art Online,16,PlayStation Vita,Action,2017-07-07
Acceleration of Suguri X Edition,12,PlayStation Network,Action,2011-01-11
Ace Armstrong vs The Alien Scumbags,7,PlayStation Network,Action,2010-08-20
Ace Attorney Investigations Miles Edgeworth,12,Nintendo DS,Adventure,2009-02-19
Ace Banana,7,PlayStation 4,Action,2016-10-13
Ace Combat  : Joint Assault,12,Sony PSP,Simulation,2010-07-30
Ace Combat  : Joint Assault,12,Sony PSP Go,Simulation,2010-09-03
Ace Combat 3D,12,Nintendo 3DS,Simulation,2011-12-16
Ace Combat Advance,3,Game Boy Advance,Action,2006-06-09
Ace Combat Infinity,12,Playstation 3,Other,2013-09-25
Ace Combat X: Skies of Deception,12,Sony PSP,Simulation,2006-10-27
Ace Combat ™ Assault Horizon,16,PC,Simulation,2013-01-25
Ace Combat ™ Assault Horizon,16,Playstation 3,Simulation,2011-10-14
Ace Combat ™ Assault Horizon,16,XBox 360,Simulation,2011-10-14
Ace Combat: Squadron Leader,12,Playstation 2,Adventure,2005-02-18
Ace Combat: The Belkan War,12,Playstation 2,Simulation,2006-09-15
Ace Patrol,7,PC,Other,2013-08-23
Aces High,7,PC,Simulation,2011-09-30
Aces of War,7,Playstation 2,Simulation,2004-11-30
Aces of Wars Portable,12,Sony PSP,Simulation,2007-03-10
Aces of the Galaxies,7,PC,Action,2008-03-31
Aces of the Galaxy,7,XBOX 360 Live Arcade,Other,2007-11-30
Aces of the Luftwaffe,7,PlayStation 4,Action,2015-02-25
Achterbahn-Simulator 2009,3,PC,Simulation,2009-03-30
Act of Aggression,16,PC,Strategy,2015-09-02
Act of War: High Treason,16,PC,Strategy,2006-03-24
ActRaiser,7,Nintendo Wii - Virtual Console,Action,2007-04-13
Action Girlz Racing,3,Nintendo Wii,Racing,2007-10-02
Action Girlz Racing,3,Playstation 2,Racing,2006-07-01
Action Henk,3,PlayStation 4,Action,2016-03-08
Action Henk,3,Xbox One,Action,2016-03-04
Action Heroes,3,PC,Other,2006-03-25
Action Man Artic Adventure (best of),3,PC,Adventure,2003-09-12
Action Pack Vol.1,18,PC,Other,2007-10-11
Actionloop,3,Nintendo DS,Puzzle,2007-01-26
Actionloop Twist,3,Nintendo Wii – WiiWare,Puzzle,2008-06-06
Active Health with Carol Vorderman,3,Nintendo DS,Other,2009-08-07
Active Soccer 2 DX,3,PlayStation 4,Sports,2016-12-14
Active Soccer 2 DX,3,PlayStation Vita,Sports,2016-12-14
Active Soccer 2 DX,3,Xbox One,Sports,2016-03-30
Activision 10 Games in 1,3,Macintosh,Adventure,2004-07-01
Activision Hits Remixed,3,Sony PSP,Action,2007-02-02
Actua Golf *,3,Playstation 1,Sports,2003-10-31
Actua Ice Hockey *,3,Playstation 1,Sports,2003-10-31
Actua Ice Hockey 2*,3,PC,Sports,2004-03-26
Actua Pool,3,Nintendo DS,Sports,2006-12-10
Actua Pool *,3,Playstation 1,Sports,2003-10-31
Actua Pool*,3,PC,Sports,2004-03-26
Actua Soccer 3 *,3,Playstation 1,Sports,2003-10-31
Actua Soccer 3*,3,PC,Sports,2004-03-26
Actua Tennis *,3,Playstation 1,Sports,2003-10-31
Actua Tennis*,3,PC,Sports,2004-03-26
Actual Sunlight,16,PlayStation Vita,Adventure,2015-08-11
AdVenture Capitalist,3,PlayStation 4,Simulation,2016-07-19
Adam's Venture,7,PC,Adventure,2009-09-25
Adam's Venture 2: Solomon's Secret,7,PC,Adventure,2011-04-08
Adam's Venture 3: Revelations,7,PC,Adventure,2012-03-31
Adam's Venture: Chronicles,7,PC,Adventure,2015-07-31
Adam's Venture: Chronicles,7,Playstation 3,Adventure,2013-03-04
Adam's Venture: Chronicles,7,Playstation 3,Adventure,2015-07-31
Adam's Venture: Origins,7,PC,Adventure,2016-03-31
Adam's Venture: Origins,7,PlayStation 4,Adventure,2016-03-31
Adam's Venture: Origins,7,Xbox One,Adventure,2016-03-31
Adel verpflichtet - Der Graf von Scrufford,3,PC,Puzzle,2012-06-12
Adelantado,3,PC,Other,2012-08-21
Adelantado 2,3,PC,Puzzle,2013-08-28
Adelantado 3: Die verlorene Expedition,3,PC,Puzzle,2014-07-09
Adi L'Entraîneur Objectif Anglais,3,Nintendo DS,Educational,2008-06-30
Adibou Aventure dans le corps humain,3,Nintendo DS,Educational,2009-06-19
Adibou Lecture-Calcul 5-6 ans,3,Nintendo DS,Educational,2009-06-19
Adibou Lecture-Calcul 6-7 ans,3,Nintendo DS,Educational,2009-06-19
Adibou et les Saisons Magiques,3,PC,Educational,2010-12-11
Adibou et les saisons magiques,3,Nintendo Wii,Educational,2009-07-21
Adrenalin,3,PC,Racing,2006-08-27
Advance Wars,7,Nintendo Wii U,Strategy,2014-04-03
Advance Wars 2: Black Hole Rising,7,Game Boy Advance,Strategy,2003-10-03
Advance Wars: Dark Conflict,12,Nintendo DS,Strategy,2008-01-25
